lat	lon	address
33.862499	-117.924273	900 S HARBOR BLVD, FULLERTON, CA, 92832
40.809631	-74.381196	156 STATE ROUTE 10, EAST HANOVER, NJ, 07936
36.703893	-121.666966	1339 N DAVIS RD, SALINAS, CA, 93907
34.219817	-118.596134	21300 ROSCOE BLVD, CANOGA PARK, CA, 91304
33.80434	-118.164872	2200 E WILLOW ST, SIGNAL HILL, CA, 90755
34.272878	-118.427267	13550 PAXTON ST, PACOIMA, CA, 91331
33.874854	-117.743442	22633 SAVI RANCH PKWY, YORBA LINDA, CA, 92887
33.121925	-117.315631	951 PALOMAR AIRPORT RD, CARLSBAD, CA, 92011
34.183563	-118.323879	1051 W BURBANK BLVD, BURBANK, CA, 91506
42.014823	-87.781749	7311 N MELVINA AVE, NILES, IL, 60714
